date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:08	23/23	---M--	200	added ('OK')	text/plain	etag:%2217-5cb7c850a9600%22	https://www.abadhotels.com/robots.txt		(from )
15:58:08	92425/92425	---M-Z	200	added ('OK')	text/html	etag:%2216909-5cb7c850a9600-gzip%22	https://www.abadhotels.com/	F:/ABAD/ABAD/www.abadhotels.com/index.html	(from )
15:58:08	170570/170570	---M-Z	200	added ('OK')	text/css	etag:%22c73e346633bcb7270e287b919a8456bc%22	https://d79k57b9f2p6h.cloudfront.net/fontawesome/5.12.0/css/all.min.css	F:/ABAD/ABAD/d79k57b9f2p6h.cloudfront.net/fontawesome/5.12.0/css/all.min.css	(from https://www.abadhotels.com/)
15:58:08	26525/26525	---M-Z	200	added ('OK')	text/css	etag:%22d40b6884d3908db36b1a30ed1d6cc07f%22	https://d79k57b9f2p6h.cloudfront.net/fontawesome/5.12.0/css/v4-shims.min.css	F:/ABAD/ABAD/d79k57b9f2p6h.cloudfront.net/fontawesome/5.12.0/css/v4-shims.min.css	(from https://www.abadhotels.com/)
15:58:08	57884/57884	---MCZ	200	added ('OK')	text/css	etag:W/%22ceb2c95b2aed17031588ce8c499897f6%22	https://d79k57b9f2p6h.cloudfront.net/animation/animate.css	F:/ABAD/ABAD/d79k57b9f2p6h.cloudfront.net/animation/animate.css	(from https://www.abadhotels.com/)
15:58:09	290453/290453	---M-Z	200	added ('OK')	text/css	etag:%22d16036c7f5f704c2d8c8fe9912cf3204%22	https://cdn.simplotel.com/static-sites/production/live/6C6B43974298C789/css/simp.min.d16036c7f5f704c2d8c8fe9912cf3204.css	F:/ABAD/ABAD/cdn.simplotel.com/static-sites/production/live/6C6B43974298C789/css/simp.min.d16036c7f5f704c2d8c8fe9912cf3204.css	(from https://www.abadhotels.com/)
15:58:09	18948/18948	---M-Z	200	added ('OK')	text/css	etag:%227dac85f48fd41c32fa2cf3abda8d1abe%22	https://cdn.simplotel.com/static-sites/production/live/6C6B43974298C789/css/custom-plugins.7dac85f48fd41c32fa2cf3abda8d1abe.css	F:/ABAD/ABAD/cdn.simplotel.com/static-sites/production/live/6C6B43974298C789/css/custom-plugins.7dac85f48fd41c32fa2cf3abda8d1abe.css	(from https://www.abadhotels.com/)
15:58:10	65188/65188	---M-Z	200	added ('OK')	text/html	etag:%22fea4-5cb7c850a9600-gzip%22	https://www.abadhotels.com/holiday-packages.html	F:/ABAD/ABAD/www.abadhotels.com/holiday-packages.html	(from https://www.abadhotels.com/)
15:58:11	81949/81949	---M-Z	200	added ('OK')	text/html	etag:%221401d-5cb7c850a9600-gzip%22	https://www.abadhotels.com/kerala-houseboats/	F:/ABAD/ABAD/www.abadhotels.com/kerala-houseboats/index.html	(from https://www.abadhotels.com/)
15:58:12	79044/79044	---M-Z	200	added ('OK')	text/html	etag:%22134c4-5cb7c850a9600-gzip%22	https://www.abadhotels.com/m/	F:/ABAD/ABAD/www.abadhotels.com/m/index.html	(from https://www.abadhotels.com/)
15:58:12	61228/61228	---M-Z	200	added ('OK')	text/html	etag:%22ef2c-5cb7c850a9600-gzip%22	https://www.abadhotels.com/ayurveda/ayurveda.html	F:/ABAD/ABAD/www.abadhotels.com/ayurveda/ayurveda.html	(from https://www.abadhotels.com/)
15:58:13	79339/79339	---M-Z	200	added ('OK')	text/html	etag:%22135eb-5cb7c8519d840-gzip%22	https://www.abadhotels.com/fort-kochi-hotel-dutch-bungalow/	F:/ABAD/ABAD/www.abadhotels.com/fort-kochi-hotel-dutch-bungalow/index.html	(from https://www.abadhotels.com/)
15:58:14	79032/79032	---M-Z	200	added ('OK')	text/html	etag:%22134b8-5cb7c850a9600-gzip%22	https://www.abadhotels.com/pepperroute/	F:/ABAD/ABAD/www.abadhotels.com/pepperroute/index.html	(from https://www.abadhotels.com/)
15:58:15	78547/78547	---M-Z	200	added ('OK')	text/html	etag:%22132d3-5cb7c8519d840-gzip%22	https://www.abadhotels.com/abadmetro/	F:/ABAD/ABAD/www.abadhotels.com/abadmetro/index.html	(from https://www.abadhotels.com/)
15:58:15	75344/75344	---M-Z	200	added ('OK')	text/html	etag:%2212650-5cb7c850a9600-gzip%22	https://www.abadhotels.com/membership/abad-privilege-club-card.html	F:/ABAD/ABAD/www.abadhotels.com/membership/abad-privilege-club-card.html	(from https://www.abadhotels.com/)
15:58:16	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Wed,%2011%20Aug%202021%2000:32:57%20GMT	http://www.google-analytics.com/analytics.js	F:/ABAD/ABAD/www.google-analytics.com/analytics.js	(from https://www.abadhotels.com/)
15:58:16	81087/81087	---M-Z	200	added ('OK')	text/html	etag:%2213cbf-5cb7c8519d840-gzip%22	https://www.abadhotels.com/hotel-in-mg-road-kochi/	F:/ABAD/ABAD/www.abadhotels.com/hotel-in-mg-road-kochi/index.html	(from https://www.abadhotels.com/)
15:58:16	82254/82254	---M-Z	200	added ('OK')	text/html	etag:%221414e-5cb7c8519d840-gzip%22	https://www.abadhotels.com/hotel-in-kochi/	F:/ABAD/ABAD/www.abadhotels.com/hotel-in-kochi/index.html	(from https://www.abadhotels.com/)
15:58:16	80437/80437	---M-Z	200	added ('OK')	text/html	etag:%2213a35-5cb7c8519d840-gzip%22	https://www.abadhotels.com/hotelabad/	F:/ABAD/ABAD/www.abadhotels.com/hotelabad/index.html	(from https://www.abadhotels.com/)
15:58:17	78904/78904	---M-Z	200	added ('OK')	text/html	etag:%2213438-5cb7c850a9600-gzip%22	https://www.abadhotels.com/kovalam-guest-house/	F:/ABAD/ABAD/www.abadhotels.com/kovalam-guest-house/index.html	(from https://www.abadhotels.com/)
15:58:17	81221/81221	---M-Z	200	added ('OK')	text/html	etag:%2213d45-5cb7c850a9600-gzip%22	https://www.abadhotels.com/hotels-in-kovalam/	F:/ABAD/ABAD/www.abadhotels.com/hotels-in-kovalam/index.html	(from https://www.abadhotels.com/)
15:58:17	83711/83711	---M-Z	200	added ('OK')	text/html	etag:%22146ff-5cb7c8519d840-gzip%22	https://www.abadhotels.com/marari-beach-resorts/	F:/ABAD/ABAD/www.abadhotels.com/marari-beach-resorts/index.html	(from https://www.abadhotels.com/)
15:58:17	71257/71257	---M-Z	200	added ('OK')	text/html	etag:%2211659-5cb7c850a9600-gzip%22	https://www.abadhotels.com/meetings-events/meetings-events.html	F:/ABAD/ABAD/www.abadhotels.com/meetings-events/meetings-events.html	(from https://www.abadhotels.com/)
15:58:17	64942/64942	---M-Z	200	added ('OK')	text/html	etag:%22fdae-5cb7c8519d840-gzip%22	https://www.abadhotels.com/contact-us/contact-us.html	F:/ABAD/ABAD/www.abadhotels.com/contact-us/contact-us.html	(from https://www.abadhotels.com/)
15:58:17	67807/67807	---M-Z	200	added ('OK')	text/html	etag:%22108df-5cb7c850a9600-gzip%22	https://www.abadhotels.com/dining/dining.html	F:/ABAD/ABAD/www.abadhotels.com/dining/dining.html	(from https://www.abadhotels.com/)
15:58:17	82671/82671	---M-Z	200	added ('OK')	text/html	etag:%22142ef-5cb7c8519d840-gzip%22	https://www.abadhotels.com/resorts-in-munnar/	F:/ABAD/ABAD/www.abadhotels.com/resorts-in-munnar/index.html	(from https://www.abadhotels.com/)
15:58:18	56844/56844	---M-Z	200	added ('OK')	text/html	etag:%22de0c-5cb7c850a9600-gzip%22	https://www.abadhotels.com/about-us/about-us.html	F:/ABAD/ABAD/www.abadhotels.com/about-us/about-us.html	(from https://www.abadhotels.com/)
15:58:18	62325/62325	---M-Z	200	added ('OK')	text/html	etag:%22f375-5cb7c850a9600-gzip%22	https://www.abadhotels.com/blogs/5-best-ways-to-spend-your-time-during-this-pandemic.html	F:/ABAD/ABAD/www.abadhotels.com/blogs/5-best-ways-to-spend-your-time-during-this-pandemic.html	(from https://www.abadhotels.com/)
15:58:18	64560/64560	---M-Z	200	added ('OK')	text/html	etag:%22fc30-5cb7c850a9600-gzip%22	https://www.abadhotels.com/destinations.html	F:/ABAD/ABAD/www.abadhotels.com/destinations.html	(from https://www.abadhotels.com/)
15:58:18	82739/82739	---M-Z	200	added ('OK')	text/html	etag:%2214333-5cb7c850a9600-gzip%22	https://www.abadhotels.com/luxury-resort-in-kumarakom/	F:/ABAD/ABAD/www.abadhotels.com/luxury-resort-in-kumarakom/index.html	(from https://www.abadhotels.com/)
15:58:18	66857/66857	---M-Z	200	added ('OK')	text/html	etag:%2210529-5cb7c850a9600-gzip%22	https://www.abadhotels.com/holiday-packages/hills-and-backwaters.html	F:/ABAD/ABAD/www.abadhotels.com/holiday-packages/hills-and-backwaters.html	(from https://www.abadhotels.com/)
15:58:18	67586/67586	---M-Z	200	added ('OK')	text/html	etag:%2210802-5cb7c850a9600-gzip%22	https://www.abadhotels.com/holiday-packages/enchanting-kerala.html	F:/ABAD/ABAD/www.abadhotels.com/holiday-packages/enchanting-kerala.html	(from https://www.abadhotels.com/)
15:58:19	67841/67841	---M-Z	200	added ('OK')	text/html	etag:%2210901-5cb7c850a9600-gzip%22	https://www.abadhotels.com/holiday-packages/amazing-kerala.html	F:/ABAD/ABAD/www.abadhotels.com/holiday-packages/amazing-kerala.html	(from https://www.abadhotels.com/)
15:58:19	77735/77735	---M-Z	200	added ('OK')	text/html	etag:%2212fa7-5cb7c8519d840-gzip%22	https://www.abadhotels.com/resorts-in-thekkady/	F:/ABAD/ABAD/www.abadhotels.com/resorts-in-thekkady/index.html	(from https://www.abadhotels.com/)
15:58:19	68214/68214	---M-Z	200	added ('OK')	text/html	etag:%2210a76-5cb7c850a9600-gzip%22	https://www.abadhotels.com/holiday-packages/best-of-abad.html	F:/ABAD/ABAD/www.abadhotels.com/holiday-packages/best-of-abad.html	(from https://www.abadhotels.com/)
