date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:37	148/148	---M-Z	200	added ('OK')	text/plain	etag:%22634458c63e4fd41:0%22	https://www.bismigroup.com/robots.txt		(from )
16:28:37	24997/24997	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:16%20GMT	https://www.bismigroup.com/	F:/bismi/bismi/www.bismigroup.com/index.html	(from )
16:28:38	10584/10584	---M--	200	added ('OK')	image/png	etag:%22f4dddea2b00d51:0%22	https://www.bismigroup.com/Content/images/logo.png	F:/bismi/bismi/www.bismigroup.com/Content/images/logo.png	(from https://www.bismigroup.com/)
16:28:39	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	F:/bismi/bismi/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.bismigroup.com/)
16:28:39	3081/3081	---M-Z	200	added ('OK')	text/css	etag:%22d424a2a07730d41:0%22	https://www.bismigroup.com/Content/css/owl.carousel.min.css	F:/bismi/bismi/www.bismigroup.com/Content/css/owl.carousel.min.css	(from https://www.bismigroup.com/)
16:28:40	86124/86124	---M-Z	200	added ('OK')	text/css	etag:%224e249a59245fd51:0%22	https://www.bismigroup.com/Content/css/main.css	F:/bismi/bismi/www.bismigroup.com/Content/css/main.css	(from https://www.bismigroup.com/)
16:28:40	3259/3259	---M--	200	added ('OK')	image/png	etag:%226058de306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-57x57.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-57x57.png	(from https://www.bismigroup.com/)
16:28:41	3471/3471	---M--	200	added ('OK')	image/png	etag:%22f0b7df306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-60x60.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-60x60.png	(from https://www.bismigroup.com/)
16:28:42	4560/4560	---M--	200	added ('OK')	image/png	etag:%228017e1306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-72x72.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-72x72.png	(from https://www.bismigroup.com/)
16:28:42	4880/4880	---M--	200	added ('OK')	image/png	etag:%22603ae3306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-76x76.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-76x76.png	(from https://www.bismigroup.com/)
16:28:43	9200/9200	---M--	200	added ('OK')	image/png	etag:%22709dd9306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-114x114.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-114x114.png	(from https://www.bismigroup.com/)
16:28:43	9954/9954	---M--	200	added ('OK')	image/png	etag:%22d087da306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-120x120.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-120x120.png	(from https://www.bismigroup.com/)
16:28:44	13446/13446	---M--	200	added ('OK')	image/png	etag:%224099db306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-144x144.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-144x144.png	(from https://www.bismigroup.com/)
16:28:44	14602/14602	---M--	200	added ('OK')	image/png	etag:%22a083dc306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-152x152.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-152x152.png	(from https://www.bismigroup.com/)
16:28:45	19289/19289	---M--	200	added ('OK')	image/png	etag:%221095dd306edd31:0%22	https://www.bismigroup.com/Content/images/fav/apple-icon-180x180.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/apple-icon-180x180.png	(from https://www.bismigroup.com/)
16:28:45	21312/21312	---M--	200	added ('OK')	image/png	etag:%22506dd4306edd31:0%22	https://www.bismigroup.com/Content/images/fav/android-icon-192x192.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/android-icon-192x192.png	(from https://www.bismigroup.com/)
16:28:46	1756/1756	---M--	200	added ('OK')	image/png	etag:%2250f5e7306edd31:0%22	https://www.bismigroup.com/Content/images/fav/favicon-32x32.png	F:/bismi/bismi/www.bismigroup.com/Content/images/fav/favicon-32x32.png	(from https://www.bismigroup.com/)
